Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shopping,Chrome 68.0.3440.106,,2018-09-18 12:34:29,2018-09-18 12:35:14,45.399s,PASSED
,,,,,,
Test Cases/Shopping,Chrome 68.0.3440.106,Search a product and shop,2018-09-18 12:34:29,2018-09-18 12:35:14,44.949s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 12:34:30,2018-09-18 12:34:33,3.202s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 12:34:33,2018-09-18 12:34:50,17.457s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 12:34:50,2018-09-18 12:34:51,0.237s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 12:34:51,2018-09-18 12:34:53,2.189s,PASSED
verifyElementVisible,Chrome 68.0.3440.106,,2018-09-18 12:34:53,2018-09-18 12:34:53,0.087s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 12:34:53,2018-09-18 12:34:53,0.136s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-18 12:34:53,2018-09-18 12:34:53,0.339s,PASSED
refresh,Chrome 68.0.3440.106,,2018-09-18 12:34:53,2018-09-18 12:34:55,1.329s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 12:34:55,2018-09-18 12:34:57,2.150s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 12:34:57,2018-09-18 12:35:00,2.998s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 12:35:00,2018-09-18 12:35:00,0.257s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-18 12:35:00,2018-09-18 12:35:00,0.419s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 12:35:00,2018-09-18 12:35:04,3.029s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 12:35:04,2018-09-18 12:35:04,0.230s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 12:35:04,2018-09-18 12:35:05,1.594s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 12:35:05,2018-09-18 12:35:05,0.132s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 12:35:05,2018-09-18 12:35:07,1.974s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 12:35:07,2018-09-18 12:35:09,1.157s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 12:35:09,2018-09-18 12:35:11,2.164s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 12:35:11,2018-09-18 12:35:14,2.874s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-18 12:35:14,2018-09-18 12:35:14,0.645s,PASSED
