Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shopping,Chrome 68.0.3440.106,,2018-09-18 15:00:55,2018-09-18 15:01:52,57.892s,PASSED
,,,,,,
Test Cases/Shopping,Chrome 68.0.3440.106,Search a product and shop,2018-09-18 15:00:55,2018-09-18 15:01:52,57.311s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 15:00:55,2018-09-18 15:01:00,4.570s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 15:01:00,2018-09-18 15:01:28,27.569s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 15:01:28,2018-09-18 15:01:28,0.196s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 15:01:28,2018-09-18 15:01:30,2.531s,PASSED
verifyElementVisible,Chrome 68.0.3440.106,,2018-09-18 15:01:30,2018-09-18 15:01:30,0.068s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 15:01:30,2018-09-18 15:01:30,0.125s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-18 15:01:30,2018-09-18 15:01:31,0.316s,PASSED
refresh,Chrome 68.0.3440.106,,2018-09-18 15:01:31,2018-09-18 15:01:33,1.888s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 15:01:33,2018-09-18 15:01:35,2.309s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 15:01:35,2018-09-18 15:01:38,3.217s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 15:01:38,2018-09-18 15:01:38,0.183s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-18 15:01:38,2018-09-18 15:01:39,0.339s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 15:01:39,2018-09-18 15:01:41,2.576s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 15:01:41,2018-09-18 15:01:41,0.160s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 15:01:41,2018-09-18 15:01:43,1.687s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 15:01:43,2018-09-18 15:01:43,0.091s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 15:01:43,2018-09-18 15:01:45,1.434s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 15:01:45,2018-09-18 15:01:46,1.233s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 15:01:46,2018-09-18 15:01:49,2.919s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 15:01:49,2018-09-18 15:01:52,2.927s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-18 15:01:52,2018-09-18 15:01:52,0.624s,PASSED
