Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shopping,Chrome 68.0.3440.106,,2018-09-14 14:46:13,2018-09-14 14:47:17,1m - 3.765s,PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,Login with registered user,2018-09-14 14:46:14,2018-09-14 14:46:41,27.035s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-14 14:46:14,2018-09-14 14:46:20,5.767s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-14 14:46:20,2018-09-14 14:46:29,9.016s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:46:29,2018-09-14 14:46:32,2.740s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-14 14:46:32,2018-09-14 14:46:32,0.232s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-14 14:46:32,2018-09-14 14:46:32,0.339s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:46:32,2018-09-14 14:46:34,2.038s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:46:34,2018-09-14 14:46:37,2.517s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:46:37,2018-09-14 14:46:38,1.139s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:46:38,2018-09-14 14:46:40,2.282s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-14 14:46:40,2018-09-14 14:46:41,0.638s,PASSED
,,,,,,
Test Cases/Shopping,Chrome 68.0.3440.106,Search a product and shop,2018-09-14 14:46:41,2018-09-14 14:47:17,36.080s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-14 14:46:41,2018-09-14 14:46:43,2.146s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-14 14:46:43,2018-09-14 14:46:52,8.858s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-14 14:46:52,2018-09-14 14:46:52,0.165s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:46:52,2018-09-14 14:46:54,2.089s,PASSED
verifyElementVisible,Chrome 68.0.3440.106,,2018-09-14 14:46:54,2018-09-14 14:46:55,0.471s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:46:55,2018-09-14 14:46:55,0.122s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-14 14:46:55,2018-09-14 14:46:55,0.292s,PASSED
refresh,Chrome 68.0.3440.106,,2018-09-14 14:46:55,2018-09-14 14:46:57,1.479s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-14 14:46:57,2018-09-14 14:46:59,2.194s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:46:59,2018-09-14 14:47:02,2.780s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-14 14:47:02,2018-09-14 14:47:02,0.199s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-14 14:47:02,2018-09-14 14:47:02,0.148s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:47:02,2018-09-14 14:47:07,4.484s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-14 14:47:07,2018-09-14 14:47:07,0.192s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:47:07,2018-09-14 14:47:08,1.573s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:47:08,2018-09-14 14:47:08,0.112s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:47:08,2018-09-14 14:47:10,1.558s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:47:10,2018-09-14 14:47:11,1.047s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:47:11,2018-09-14 14:47:13,2.190s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 14:47:13,2018-09-14 14:47:16,3.217s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-14 14:47:16,2018-09-14 14:47:17,0.580s,PASSED
