Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shopping,Firefox 61.0,,2018-09-17 18:49:13,2018-09-17 18:51:16,2m - 3.075s,FAILED
,,,,,,
Test Cases/Login,Firefox 61.0,Login with registered user,2018-09-17 18:49:14,2018-09-17 18:50:17,1m - 2.668s,PASSED
openBrowser,Firefox 61.0,,2018-09-17 18:49:14,2018-09-17 18:49:52,37.224s,PASSED
navigateToUrl,Firefox 61.0,,2018-09-17 18:49:52,2018-09-17 18:50:02,10.417s,PASSED
click,Firefox 61.0,,2018-09-17 18:50:02,2018-09-17 18:50:06,3.703s,PASSED
setText,Firefox 61.0,,2018-09-17 18:50:06,2018-09-17 18:50:06,0.434s,PASSED
setEncryptedText,Firefox 61.0,,2018-09-17 18:50:06,2018-09-17 18:50:07,0.400s,PASSED
click,Firefox 61.0,,2018-09-17 18:50:07,2018-09-17 18:50:09,2.583s,PASSED
click,Firefox 61.0,,2018-09-17 18:50:09,2018-09-17 18:50:12,3.108s,PASSED
click,Firefox 61.0,,2018-09-17 18:50:12,2018-09-17 18:50:14,1.321s,PASSED
click,Firefox 61.0,,2018-09-17 18:50:14,2018-09-17 18:50:16,2.645s,PASSED
closeBrowser,Firefox 61.0,,2018-09-17 18:50:16,2018-09-17 18:50:17,0.383s,PASSED
,,,,,,
Test Cases/Shopping,Firefox 61.0,Search a product and shop,2018-09-17 18:50:17,2018-09-17 18:51:16,59.338s,FAILED
openBrowser,Firefox 61.0,,2018-09-17 18:50:17,2018-09-17 18:50:24,7.215s,PASSED
navigateToUrl,Firefox 61.0,,2018-09-17 18:50:24,2018-09-17 18:50:31,7.482s,PASSED
setText,Firefox 61.0,,2018-09-17 18:50:31,2018-09-17 18:50:32,0.101s,PASSED
click,Firefox 61.0,,2018-09-17 18:50:32,2018-09-17 18:50:34,2.205s,PASSED
verifyElementVisible,Firefox 61.0,,2018-09-17 18:50:34,2018-09-17 18:50:34,0.123s,PASSED
click,Firefox 61.0,,2018-09-17 18:50:34,2018-09-17 18:50:34,0.273s,PASSED
takeScreenshot,Firefox 61.0,,2018-09-17 18:50:34,2018-09-17 18:50:34,0.237s,PASSED
refresh,Firefox 61.0,,2018-09-17 18:50:34,2018-09-17 18:50:41,6.596s,PASSED
navigateToUrl,Firefox 61.0,,2018-09-17 18:50:41,2018-09-17 18:50:43,2.046s,PASSED
click,Firefox 61.0,,2018-09-17 18:50:43,2018-09-17 18:51:16,32.853s,FAILED
