Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shopping,Chrome 68.0.3440.106,,2018-09-15 02:31:21,2018-09-17 10:37:26,56h - 6m - 5.091s,PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,Login with registered user,2018-09-17 10:33:13,2018-09-17 10:36:22,3m - 8.582s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 10:33:28,2018-09-17 10:34:50,1m - 22.115s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 10:34:50,2018-09-17 10:35:56,1m - 5.406s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:35:56,2018-09-17 10:36:00,4.185s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:36:00,2018-09-17 10:36:01,0.542s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 10:36:01,2018-09-17 10:36:02,1.217s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:36:02,2018-09-17 10:36:05,2.735s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:36:05,2018-09-17 10:36:12,7.716s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:36:12,2018-09-17 10:36:16,3.393s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:36:16,2018-09-17 10:36:19,3.765s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-17 10:36:19,2018-09-17 10:36:22,2.371s,PASSED
,,,,,,
Test Cases/Shopping,Chrome 68.0.3440.106,Search a product and shop,2018-09-17 10:36:22,2018-09-17 10:37:26,1m - 4.110s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 10:36:22,2018-09-17 10:36:25,2.524s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 10:36:25,2018-09-17 10:36:56,31.412s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:36:56,2018-09-17 10:36:56,0.296s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:36:56,2018-09-17 10:37:00,3.549s,PASSED
verifyElementVisible,Chrome 68.0.3440.106,,2018-09-17 10:37:00,2018-09-17 10:37:00,0.242s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:37:00,2018-09-17 10:37:00,0.188s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 10:37:00,2018-09-17 10:37:01,0.708s,PASSED
refresh,Chrome 68.0.3440.106,,2018-09-17 10:37:01,2018-09-17 10:37:03,1.756s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 10:37:03,2018-09-17 10:37:05,2.483s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:37:05,2018-09-17 10:37:09,3.364s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:37:09,2018-09-17 10:37:09,0.515s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 10:37:09,2018-09-17 10:37:09,0.244s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:37:09,2018-09-17 10:37:12,2.652s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:37:12,2018-09-17 10:37:12,0.477s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:37:12,2018-09-17 10:37:14,1.842s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:37:14,2018-09-17 10:37:14,0.188s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:37:14,2018-09-17 10:37:16,1.564s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:37:16,2018-09-17 10:37:18,1.678s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:37:18,2018-09-17 10:37:20,2.692s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:37:20,2018-09-17 10:37:24,3.917s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-17 10:37:24,2018-09-17 10:37:26,1.542s,PASSED
