Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shopping,Chrome 68.0.3440.106,,2018-09-14 11:35:54,2018-09-14 11:37:51,1m - 57.375s,FAILED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,Login with registered user,2018-09-14 11:35:55,2018-09-14 11:36:53,57.769s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-14 11:35:55,2018-09-14 11:36:14,18.404s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-14 11:36:14,2018-09-14 11:36:39,25.363s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 11:36:39,2018-09-14 11:36:42,3.143s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-14 11:36:42,2018-09-14 11:36:43,0.487s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-14 11:36:43,2018-09-14 11:36:43,0.352s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 11:36:43,2018-09-14 11:36:45,2.300s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 11:36:45,2018-09-14 11:36:48,2.983s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 11:36:48,2018-09-14 11:36:49,1.074s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 11:36:49,2018-09-14 11:36:52,2.605s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-14 11:36:52,2018-09-14 11:36:53,0.686s,PASSED
,,,,,,
Test Cases/Shopping,Chrome 68.0.3440.106,Search a product and shop,2018-09-14 11:36:53,2018-09-14 11:37:51,57.923s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-14 11:36:53,2018-09-14 11:36:55,2.566s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-14 11:36:55,2018-09-14 11:37:12,16.685s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-14 11:37:12,2018-09-14 11:37:12,0.349s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 11:37:12,2018-09-14 11:37:15,2.676s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 11:37:15,2018-09-14 11:37:15,0.125s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-14 11:37:15,2018-09-14 11:37:16,0.311s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-14 11:37:16,2018-09-14 11:37:18,2.035s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 11:37:18,2018-09-14 11:37:51,32.986s,FAILED
