Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shopping,Chrome 68.0.3440.106,,2018-09-17 10:38:37,2018-09-17 10:40:48,2m - 11.163s,PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,Login with registered user,2018-09-17 10:38:37,2018-09-17 10:39:57,1m - 19.294s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 10:38:38,2018-09-17 10:38:42,4.325s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 10:38:42,2018-09-17 10:39:45,1m - 3.188s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:39:45,2018-09-17 10:39:48,2.397s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:39:48,2018-09-17 10:39:48,0.206s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 10:39:48,2018-09-17 10:39:48,0.462s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:39:48,2018-09-17 10:39:50,1.901s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:39:50,2018-09-17 10:39:53,2.316s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:39:53,2018-09-17 10:39:54,1.123s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:39:54,2018-09-17 10:39:56,2.248s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-17 10:39:56,2018-09-17 10:39:57,0.668s,PASSED
,,,,,,
Test Cases/Shopping,Chrome 68.0.3440.106,Search a product and shop,2018-09-17 10:39:57,2018-09-17 10:40:48,51.334s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 10:39:57,2018-09-17 10:39:59,2.575s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 10:39:59,2018-09-17 10:40:11,11.252s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:40:11,2018-09-17 10:40:11,0.179s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:40:11,2018-09-17 10:40:13,2.431s,PASSED
verifyElementVisible,Chrome 68.0.3440.106,,2018-09-17 10:40:13,2018-09-17 10:40:13,0.097s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:40:13,2018-09-17 10:40:14,0.159s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 10:40:14,2018-09-17 10:40:14,0.292s,PASSED
refresh,Chrome 68.0.3440.106,,2018-09-17 10:40:14,2018-09-17 10:40:16,2.377s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 10:40:16,2018-09-17 10:40:19,2.354s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:40:19,2018-09-17 10:40:22,3.450s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:40:22,2018-09-17 10:40:22,0.223s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 10:40:22,2018-09-17 10:40:22,0.152s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:40:22,2018-09-17 10:40:26,3.051s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:40:26,2018-09-17 10:40:26,0.245s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:40:26,2018-09-17 10:40:27,1.733s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:40:27,2018-09-17 10:40:28,0.140s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:40:28,2018-09-17 10:40:31,3.020s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:40:31,2018-09-17 10:40:34,2.910s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:40:34,2018-09-17 10:40:38,4.903s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:40:38,2018-09-17 10:40:46,7.782s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-17 10:40:46,2018-09-17 10:40:48,1.819s,PASSED
