Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shopping,Chrome 68.0.3440.106,,2018-09-17 15:01:03,2018-09-17 15:04:58,3m - 55.186s,PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,Login with registered user,2018-09-17 15:01:04,2018-09-17 15:02:37,1m - 32.972s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 15:01:04,2018-09-17 15:01:18,13.886s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 15:01:18,2018-09-17 15:02:00,41.774s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:02:00,2018-09-17 15:02:11,11.540s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 15:02:11,2018-09-17 15:02:12,0.786s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 15:02:12,2018-09-17 15:02:12,0.402s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:02:12,2018-09-17 15:02:16,3.295s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:02:16,2018-09-17 15:02:27,11.662s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:02:27,2018-09-17 15:02:32,4.808s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:02:32,2018-09-17 15:02:36,3.497s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-17 15:02:36,2018-09-17 15:02:37,0.917s,PASSED
,,,,,,
Test Cases/Shopping,Chrome 68.0.3440.106,Search a product and shop,2018-09-17 15:02:37,2018-09-17 15:04:58,2m - 21.683s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 15:02:37,2018-09-17 15:02:40,3.229s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 15:02:40,2018-09-17 15:04:28,1m - 47.700s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 15:04:28,2018-09-17 15:04:28,0.211s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:04:28,2018-09-17 15:04:34,5.775s,PASSED
verifyElementVisible,Chrome 68.0.3440.106,,2018-09-17 15:04:34,2018-09-17 15:04:34,0.095s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:04:34,2018-09-17 15:04:34,0.095s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 15:04:34,2018-09-17 15:04:34,0.332s,PASSED
refresh,Chrome 68.0.3440.106,,2018-09-17 15:04:34,2018-09-17 15:04:37,2.449s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 15:04:37,2018-09-17 15:04:40,3.092s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:04:40,2018-09-17 15:04:44,4.105s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 15:04:44,2018-09-17 15:04:44,0.229s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 15:04:44,2018-09-17 15:04:44,0.165s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:04:44,2018-09-17 15:04:47,2.877s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 15:04:47,2018-09-17 15:04:47,0.223s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:04:47,2018-09-17 15:04:50,2.153s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:04:50,2018-09-17 15:04:50,0.131s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:04:50,2018-09-17 15:04:51,1.612s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:04:51,2018-09-17 15:04:52,1.159s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:04:52,2018-09-17 15:04:55,2.254s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 15:04:55,2018-09-17 15:04:58,2.979s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-17 15:04:58,2018-09-17 15:04:58,0.604s,PASSED
