Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shopping,Chrome 68.0.3440.106,,2018-09-12 17:35:25,2018-09-12 17:36:35,1m - 9.287s,FAILED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,Login with registered user,2018-09-12 17:35:26,2018-09-12 17:35:54,28.181s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 17:35:27,2018-09-12 17:35:30,3.815s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 17:35:30,2018-09-12 17:35:41,10.721s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:35:41,2018-09-12 17:35:44,2.419s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 17:35:44,2018-09-12 17:35:44,0.354s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-12 17:35:44,2018-09-12 17:35:44,0.561s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:35:44,2018-09-12 17:35:47,2.666s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:35:47,2018-09-12 17:35:50,2.707s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:35:50,2018-09-12 17:35:51,1.201s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:35:51,2018-09-12 17:35:53,2.308s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-12 17:35:53,2018-09-12 17:35:54,0.778s,PASSED
,,,,,,
Test Cases/Shopping,Chrome 68.0.3440.106,Search a product and shop,2018-09-12 17:35:54,2018-09-12 17:36:34,39.973s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 17:35:54,2018-09-12 17:35:57,2.221s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 17:35:57,2018-09-12 17:36:07,10.413s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:36:07,2018-09-12 17:36:07,0.175s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 17:36:07,2018-09-12 17:36:09,1.914s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:36:09,2018-09-12 17:36:34,24.883s,FAILED
