Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shopping,Chrome 68.0.3440.106,,2018-09-12 17:26:58,2018-09-12 17:30:45,3m - 46.918s,FAILED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,Login with registered user,2018-09-12 17:27:01,2018-09-12 17:29:40,2m - 38.322s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 17:27:02,2018-09-12 17:27:38,35.981s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 17:27:38,2018-09-12 17:28:15,37.172s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:28:15,2018-09-12 17:28:18,3.403s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 17:28:18,2018-09-12 17:28:19,0.335s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-12 17:28:19,2018-09-12 17:28:19,0.372s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:28:19,2018-09-12 17:28:21,2.110s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:28:21,2018-09-12 17:29:26,1m - 5.226s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:29:26,2018-09-12 17:29:33,7.115s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:29:33,2018-09-12 17:29:38,4.413s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-12 17:29:38,2018-09-12 17:29:40,1.815s,PASSED
,,,,,,
Test Cases/Shopping,Chrome 68.0.3440.106,Search a product and shop,2018-09-12 17:29:40,2018-09-12 17:30:44,1m - 4.501s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 17:29:40,2018-09-12 17:29:46,6.085s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 17:29:46,2018-09-12 17:30:08,21.737s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:30:08,2018-09-12 17:30:08,0.207s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 17:30:08,2018-09-12 17:30:10,2.581s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 17:30:10,2018-09-12 17:30:44,33.689s,FAILED
